#,"Country,Other",TotalCases,TotalDeaths,TotalRecovered,Tot Cases/1M pop,Deaths/1M pop,Population,Continent
,World,704753890,7010681,675619811,90413,899.4,,All
,Europe,253406198,2101824,248754104,,,,Europe
,Asia,221500265,1553662,205673091,,,,Asia
,North America,131889132,1695941,127665129,,,,North America
1,USA,111820082,1219487,109814428,333985,3642,334805269,North America
,South America,70200879,1367332,66683585,,,,South America
2,India,45035393,533570,N/A,32016,379,1406631776,Asia
3,France,40138560,167642,39970918,612013,2556,65584518,Europe
4,Germany,38828995,183027,38240600,462891,2182,83883596,Europe
5,Brazil,38743918,711380,36249161,179908,3303,215353593,South America
6,S. Korea,34571873,35934,34535939,673523,700,51329899,Asia
7,Japan,33803572,74694,N/A,269169,595,125584838,Asia
8,Italy,26723249,196487,26361218,443445,3261,60262770,Europe
9,UK,24910387,232112,24678275,363666,3389,68497907,Europe
10,Russia,24124215,402756,23545818,165454,2762,145805947,Europe
11,Turkey,17232066,102174,N/A,201399,1194,85561976,Asia
,Oceania,14895771,33015,14752388,,,,Australia/Oceania
12,Spain,13914811,121760,13762417,297840,2606,46719142,Europe
,Africa,12860924,258892,12090808,,,,Africa
13,Australia,11853144,24414,11820014,454687,937,26068792,Australia/Oceania
14,Vietnam,11625195,43206,10640971,117481,437,98953541,Asia
15,Taiwan,10241523,19005,10222518,428720,796,23888595,Asia
16,Argentina,10128845,130841,9997258,220143,2844,46010234,South America
17,Netherlands,8635786,22992,8612599,501747,1336,17211447,Europe
18,Mexico,7702809,334958,6899865,58549,2546,131562772,North America
19,Iran,7627186,146811,N/A,88665,1707,86022837,Asia
20,Indonesia,6829221,162063,6647104,24466,581,279134505,Asia
21,Poland,6661991,120598,N/A,176524,3196,37739785,Europe
22,Colombia,6400173,143200,6212152,124244,2780,51512762,South America
23,Greece,6101379,37869,N/A,591412,3671,10316637,Europe
24,Austria,6081287,22542,6054934,670727,2486,9066710,Europe
25,Portugal,5643062,28126,5614809,556484,2774,10140570,Europe
26,Ukraine,5557995,112418,5445577,128681,2603,43192122,Europe
27,Chile,5384853,64497,5252450,279730,3350,19250195,South America
28,Malaysia,5278406,37348,5233268,159079,1126,33181072,Asia
29,Canada,4946090,59034,4881312,128843,1538,38388419,North America
30,Belgium,4861695,34376,4826798,416659,2946,11668278,Europe
31,Israel,4841772,12707,4798473,519169,1363,9326000,Asia
32,DPRK,4772813,74,4772739,183636,3,25990679,Asia
33,Thailand,4770149,34586,4692636,68069,494,70078203,Asia
34,Czechia,4759041,43517,4715206,443246,4053,10736784,Europe
35,Peru,4572667,222161,4350506,135751,6595,33684208,South America
36,Switzerland,4453053,14452,4438309,507549,1647,8773637,Europe
37,Philippines,4140383,66864,4067381,36800,594,112508994,Asia
38,South Africa,4076463,102595,3912506,67095,1689,60756135,Africa
39,Romania,3529735,68929,3460149,185470,3622,19031335,Europe
40,Denmark,3183756,8814,3174942,545636,1511,5834950,Europe
41,Singapore,3006155,2024,3004131,505785,341,5943546,Asia
42,Hong Kong,2937609,14924,2916005,386309,1963,7604299,Asia
43,Sweden,2754129,27407,2726492,269511,2682,10218971,Europe
44,New Zealand,2621111,5697,2613791,535117,1163,4898203,Australia/Oceania
45,Serbia,2615054,18057,2596608,302213,2087,8653016,Europe
46,Iraq,2465545,25375,2439497,58474,602,42164965,Asia
47,Hungary,2230232,49048,2152155,232164,5106,9606259,Europe
48,Bangladesh,2049377,29493,N/A,12207,176,167885689,Asia
49,Slovakia,1877605,21224,1856381,343872,3887,5460193,Europe
50,Georgia,1861665,17132,N/A,469082,4317,3968738,Asia
51,Jordan,1746997,14122,1731007,169597,1371,10300869,Asia
52,Ireland,1734582,9491,1724921,345521,1891,5020199,Europe
53,Pakistan,1581936,30664,1538689,6893,134,229488994,Asia
54,Finland,1516117,11958,1503989,272930,2153,5554960,Europe
55,Norway,1509732,6638,1503094,273930,1204,5511370,Europe
56,Kazakhstan,1411831,13848,1383020,73514,721,19205043,Asia
57,Lithuania,1397806,9897,1387478,525154,3718,2661708,Europe
58,Slovenia,1356546,7100,1349424,652803,3417,2078034,Europe
59,Bulgaria,1339851,38748,1292944,195753,5661,6844597,Europe
60,Croatia,1309728,18687,1258432,322650,4604,4059286,Europe
61,Guatemala,1291293,20289,1269891,69484,1092,18584039,North America
62,Morocco,1278992,16303,N/A,33860,432,37772756,Africa
63,Lebanon,1243838,10952,1087587,186068,1638,6684849,Asia
64,Costa Rica,1238883,9428,N/A,239058,1819,5182354,North America
65,Bolivia,1212131,22407,1177145,101073,1868,11992656,South America
66,Tunisia,1153361,29423,N/A,95741,2442,12046656,Africa
67,Cuba,1115251,8530,1106660,98645,754,11305652,North America
68,Ecuador,1070188,36043,1034145,59083,1990,18113361,South America
69,UAE,1067030,2349,N/A,105837,233,10081785,Asia
70,Panama,1059893,8727,1051102,238341,1962,4446964,North America
71,Uruguay,1041111,7664,1030944,297799,2192,3496016,South America
72,Mongolia,1011496,2284,1009212,299429,676,3378078,Asia
73,Nepal,1003450,12031,991322,33199,398,30225582,Asia
74,Belarus,994037,7118,985592,105381,755,9432800,Europe
75,Latvia,982505,6715,971406,531418,3632,1848837,Europe
76,Saudi Arabia,841469,9646,N/A,23475,269,35844909,Asia
77,Paraguay,837602,20155,N/A,114648,2759,7305843,South America
78,Azerbaijan,835234,10400,824089,81089,1010,10300205,Asia
79,Bahrain,729549,1574,727915,408944,882,1783983,Asia
80,Cyprus,681110,1365,679745,556741,1116,1223387,Asia
81,Dominican Republic,675890,4384,671316,61131,397,11056370,North America
82,Sri Lanka,672754,16897,655852,31181,783,21575842,Asia
83,Kuwait,667158,2570,N/A,152308,587,4380326,Asia
84,Myanmar,641873,19495,620159,11622,353,55227143,Asia
85,Moldova,635145,12218,N/A,158265,3044,4013171,Europe
86,Estonia,628070,3001,N/A,475123,2270,1321910,Europe
87,Palestine,621008,5404,615445,116173,1011,5345541,Asia
88,Venezuela,552695,5856,546537,18885,200,29266991,South America
89,Egypt,516023,24613,442182,4861,232,106156692,Africa
90,Qatar,514524,690,513687,172664,232,2979915,Asia
91,Libya,507274,6437,500835,72048,914,7040745,Africa
92,China,503302,5272,379053,347,4,1448471400,Asia
93,Ethiopia,501157,7574,488171,4148,63,120812698,Africa
94,Réunion,494595,921,N/A,544672,1014,908061,Africa
95,Honduras,474590,11165,N/A,46432,1092,10221247,North America
96,Armenia,451831,8777,435162,152031,2953,2971966,Asia
97,Bosnia and Herzegovina,403615,16388,379084,124215,5044,3249317,Europe
98,Oman,399449,4628,N/A,75028,869,5323993,Asia
99,Luxembourg,391232,1232,N/A,609044,1918,642371,Europe
100,North Macedonia,350567,9976,337068,168436,4793,2081304,Europe
101,Zambia,349304,4069,341316,17940,209,19470234,Africa
102,Kenya,344130,5689,337309,6122,101,56215221,Africa
103,Brunei,343719,225,243601,771655,505,445431,Asia
104,Albania,334863,3605,330233,116825,1258,2866374,Europe
105,Botswana,330638,2801,327049,135443,1147,2441162,Africa
106,Montenegro,296542,2846,291794,472238,4532,627950,Europe
107,Algeria,272010,6881,183061,5998,152,45350148,Africa
108,Nigeria,267188,3155,259953,1233,15,216746934,Africa
109,Zimbabwe,266359,5740,258888,17373,374,15331428,Africa
110,Uzbekistan,253662,1637,241486,7378,48,34382084,Asia
111,Afghanistan,234174,7996,211080,5746,196,40754388,Asia
112,Mozambique,233731,2250,228805,7064,68,33089461,Africa
113,Martinique,230354,1102,N/A,615777,2946,374087,North America
114,Laos,218970,758,N/A,29270,101,7481023,Asia
115,Iceland,209906,229,N/A,607731,663,345393,Europe
116,Kyrgyzstan,206897,2991,196406,30750,445,6728271,Asia
117,Guadeloupe,203235,1021,N/A,508349,2554,399794,North America
118,El Salvador,201855,4230,179410,30816,646,6550389,North America
119,Trinidad and Tobago,191496,4390,187078,136143,3121,1406585,North America
120,Maldives,186694,316,163687,345100,584,540985,Asia
121,Namibia,172389,4106,167099,65451,1559,2633874,Africa
122,Uganda,172149,3632,100431,3554,75,48432863,Africa
123,Ghana,171889,1462,170425,5306,45,32395450,Africa
124,Jamaica,156869,3756,N/A,52551,1258,2985094,North America
125,Cambodia,139103,3056,136044,8102,178,17168639,Asia
126,Rwanda,133518,1468,132039,9817,108,13600464,Africa
127,Cameroon,125379,1974,123280,4492,71,27911548,Africa
128,Malta,121420,885,120149,273448,1993,444033,Europe
129,Barbados,110578,648,108647,383921,2250,288023,North America
130,Angola,107327,1937,103419,3064,55,35027343,Africa
131,Channel Islands,101717,228,101321,576421,1292,176463,Europe
132,DRC,99338,1468,84489,1043,15,95240792,Africa
133,French Guiana,98041,420,11254,312065,1337,314169,South America
134,Malawi,89535,2686,N/A,4437,133,20180839,Africa
135,Senegal,89053,1971,87024,5044,112,17653671,Africa
136,Ivory Coast,88384,835,87497,3186,30,27742298,Africa
137,Suriname,82588,1408,N/A,138378,2359,596831,South America
138,New Caledonia,80064,314,N/A,275214,1079,290915,Australia/Oceania
139,French Polynesia,79254,650,N/A,278902,2287,284164,Australia/Oceania
140,Eswatini,75191,1427,73116,63462,1204,1184817,Africa
141,Guyana,74137,1300,72013,93366,1637,794045,South America
142,Belize,71409,688,N/A,173243,1669,412190,North America
143,Fiji,69117,885,67226,75997,973,909466,Australia/Oceania
144,Madagascar,68486,1426,66862,2347,49,29178077,Africa
145,Cabo Verde,64477,417,63755,113580,735,567678,Africa
146,Sudan,63993,5046,58947,1391,110,45992020,Africa
147,Mauritania,63848,997,62471,13025,203,4901981,Africa
148,Bhutan,62697,21,61564,79571,27,787941,Asia
149,Syria,57743,3165,54578,2982,163,19364809,Asia
150,Burundi,54721,38,53569,4334,3,12624840,Africa
151,Seychelles,51220,172,51048,515157,1730,99426,Africa
152,Gabon,49051,307,48674,21038,132,2331533,Africa
